,Ticker,C skoru,Sıra,Unnamed: 3
0,ALBRK,0.4802,1,Bankacılık
1,AKBNK,0.47522,2,
2,QNBTR,0.36643,3,
3,TSKB,0.22222,4,
4,GARAN,0.18122,5,
5,SKBNK,0.17043,6,
6,YKBNK,0.15765,7,
7,VAKBN,0.12885,8,
8,ISCTR,0.12524,9,
9,HALKB,0.10055,10,
10,PAPIL,0.73048,1,Bilişim ve Teknoloji
11,LOGO,0.39127,2,
12,HTTBT,0.31706,3,
13,ARDYZ,0.30832,4,
14,MIATK,0.30011,5,
15,ASELS,0.28525,6,
16,EDATA,0.28227,7,
17,MANAS,0.2429,8,
18,INDES,0.19804,9,
19,KAREL,0.10701,10,
20,GWIND,0.76456,1,Enerji
21,GESAN,0.75511,2,
22,AKSEN,0.60104,3,
23,ODAS,0.58008,4,
24,AYDEM,0.57449,5,
25,ENJSA,0.54564,6,
26,KONTR,0.43364,7,
27,BIOEN,0.42415,8,
28,AKENR,0.41594,9,
29,ZOREN,0.40553,10,
30,KENT,0.76312,1,Gıda ve İçecek
31,KNFRT,0.39487,2,
32,TBORG,0.32169,3,
33,CCOLA,0.25117,4,
34,AEFES,0.24272,5,
35,ULKER,0.241,6,
36,TUKAS,0.22992,7,
37,BANVT,0.15559,8,
38,PNSUT,0.14489,9,
39,TATGD,0.14373,10,
40,BIGTK,0.60425,1,Hizmetler
41,TCELL,0.4012,2,
42,TTKOM,0.22555,3,
43,MAALT,0.22478,4,
44,MPARK,0.22443,5,
45,MAVI,0.22422,6,
46,BIMAS,0.21474,7,
47,MGROS,0.20999,8,
48,YATAS,0.2084,9,
49,PENTA,0.20752,10,
50,BRYAT,0.70678,1,Holding ve Yatırım
51,ECZYT,0.55129,2,
52,IEYHO,0.45004,3,
53,KLRHO,0.39539,4,
54,AGHOL,0.36101,5,
55,ALARK,0.34549,6,
56,DOHOL,0.33695,7,
57,TAVHL,0.30274,8,
58,KCHOL,0.21634,9,
59,SAHOL,0.15524,10,
60,TURGG,0.56624,1,İnşaat GYO
61,TRGYO,0.4614,2,
62,PEKGY,0.43264,3,
63,ZRGYO,0.42987,4,
64,EKGYO,0.4037,5,
65,ALGYO,0.39828,6,
66,ORGE,0.39427,7,
67,ISGYO,0.34122,8,
68,KUYAS,0.33492,9,
69,ENKAI,0.31053,10,
70,IZFAS,0.78833,1,Kimya Petrol
71,EUREN,0.27476,2,
72,ISKPL,0.24836,3,
73,AYGAZ,0.21336,4,
74,GUBRF,0.21226,5,
75,AKSA,0.18256,6,
76,BRSAN,0.17624,7,
77,HEKTS,0.10783,8,
78,PETKM,0.09885,9,
79,SASA,0.09268,10,
80,TRALT,0.78992,1,Sanayi
81,EREGL,0.44513,2,
82,TUPRS,0.44377,3,
83,FROTO,0.42495,4,
84,SISE,0.41962,5,
85,KRDMD,0.41219,6,
86,TTRAK,0.40219,7,
87,TOASO,0.39237,8,
88,OTKAR,0.24947,9,
89,ARCLK,0.16556,10,
90,GRSEL,0.49274,1,Ulaştırma
91,TUREX,0.47254,2,
92,PGSUS,0.46665,3,
93,CLEBI,0.46639,4,
94,TLMAN,0.46401,5,
95,GSDDE,0.37447,6,
96,RYSAS,0.2823,7,
97,DOAS,0.26445,8,
98,THYAO,0.25773,9,
99,BEYAZ,0.21761,10,
